805	2898	1.346E7
1154	2707	1.228E7
1548	3542	1.161E7
4069	3542	9660000.0
438	2707	9560000.0
3508	3542	8600000.0
396	1538	7130000.0
1813	438	7000000.0
1836	3542	6580000.0
2753	3542	6202000.0
2707	2886	6000000.0
3783	1053	5822000.0
3577	1299	5576400.0
2310	3542	5400000.0
996	2793	5181200.0
845	2793	5180600.0
3890	2793	5168600.0
2798	2793	5168200.0
374	2793	5162800.0
3507	2793	5153000.0
2121	2191	5120000.0
1813	745	5000000.0
2565	2707	4950000.0
1450	3542	4600000.0
590	2707	4480000.0
1813	3090	4460000.0
1349	2793	4241400.0
2736	3542	4200000.0
724	3542	4200000.0
50	954	4030000.0
1227	2174	4000000.0
3431	2707	3990000.0
2072	3542	3970000.0
2513	3542	3930000.0
438	3542	3800000.0
2024	3542	3660000.0
1380	2793	3274900.0
798	2707	3040000.0
1756	3542	3000000.0
3833	3973	2850000.0
2236	1037	2746400.0
1271	2793	2672200.0
422	438	2600000.0
3276	47	2533400.0
1382	2707	2520000.0
3231	3542	2510000.0
1582	2793	2507800.0
3833	1759	2502500.0
830	438	2477600.0
2385	2707	2414000.0
1831	2707	2400000.0
1037	1538	2400000.0
3800	438	2390000.0
987	3542	2380000.0
2729	3228	2354000.0
1384	3048	2340000.0
415	3048	2340000.0
415	519	2280000.0
1667	2835	2261100.0
3833	2583	2171100.0
3420	338	2050000.0
415	2465	2050000.0
254	857	2050000.0
3420	1455	2040000.0
929	438	2020000.0
4211	428	2001600.0
1538	1376	2000000.0
831	3179	2000000.0
321	3549	2000000.0
321	2211	2000000.0
321	1721	2000000.0
321	1064	2000000.0
4063	438	2000000.0
3613	1538	2000000.0
3420	3958	2000000.0
3384	46	2000000.0
2543	4087	1998000.0
339	2707	1992000.0
4183	3220	1980000.0
3860	1681	1980000.0
3860	133	1980000.0
3611	1891	1980000.0
3566	2612	1980000.0
3489	2221	1980000.0
3122	2942	1980000.0
2703	2287	1980000.0
2622	2322	1980000.0
2621	2221	1980000.0
2374	2822	1980000.0
2365	3122	1980000.0
2358	1530	1980000.0
2244	3442	1980000.0
2173	3433	1980000.0
2131	3545	1980000.0
2131	3461	1980000.0
1926	760	1980000.0
1764	2060	1980000.0
1764	583	1980000.0
1764	570	1980000.0
1685	2936	1980000.0
1398	2	1980000.0
1079	1764	1980000.0
1065	760	1980000.0
934	1398	1980000.0
749	3226	1980000.0
682	633	1980000.0
401	1406	1980000.0
394	2778	1980000.0
373	3438	1980000.0
65	3028	1980000.0
65	2422	1980000.0
1764	4145	1960000.0
345	2718	1934200.0
345	2667	1934200.0
345	2411	1934200.0
3833	230	1851000.0
2197	3436	1810100.0
3704	3542	1800000.0
672	2363	1790000.0
3195	987	1760000.0
2946	1191	1740000.0
2946	784	1740000.0
2502	3399	1740000.0
2566	2793	1727700.0
3592	2793	1724900.0
3250	1363	1720000.0
3117	258	1720000.0
3062	2649	1720000.0
3062	258	1720000.0
3062	17	1720000.0
2918	2056	1720000.0
2918	1045	1720000.0
2502	770	1720000.0
1953	3204	1720000.0
1953	2231	1720000.0
1953	770	1720000.0
1953	400	1720000.0
1476	3204	1720000.0
1476	3053	1720000.0
794	3713	1720000.0
2199	2793	1714600.0
372	2793	1713500.0
2768	2793	1708700.0
3675	2793	1708400.0
1256	2793	1708400.0
2158	2557	1700000.0
1847	2746	1700000.0
1006	2290	1700000.0
252	4164	1700000.0
76	2227	1700000.0
1765	47	1693100.0
4077	47	1692500.0
76	2557	1680000.0
1196	47	1678000.0
3507	47	1665000.0
1677	3501	1660000.0
1677	292	1660000.0
1343	2616	1520000.0
4211	1409	1500000.0
4150	3542	1465800.0
2864	2707	1450000.0
2517	2707	1400000.0
2027	3542	1400000.0
805	438	1400000.0
1908	2628	1320000.0
3929	1919	1270000.0
3091	2707	1259600.0
2206	3542	1250000.0
4026	438	1200000.0
3058	2727	1200000.0
915	2707	1200000.0
3312	1472	1160000.0
1071	2727	1144600.0
4069	3462	1140000.0
